no,name,organization,country,source_url,alt_url,source_type,confidence,notes
1,Ali FİDAN,Emniyet Genel Müdürü,TÜRKİYE,https://www.egm.gov.tr/emniyet-genel-mudurumuz-sayin,https://www.ntv.com.tr/gundem/yeni-emniyet-genel-muduru-ali-fidan-kimdir-1722208,official_page,high,Resmi EGM sayfası; basın galerileri de mevcut
2,Emrullah GÖLCÜK,EGM Güvenlik Daire Başkanı,TÜRKİYE,https://www.egm.gov.tr/guvenlik/baskan,,official_page,high,Resmi EGM daire başkanı sayfası (özgeçmiş + portre)
3,Gökhan DEMİRTOLA,EGM Dış İlişkiler Daire Başkanı,TÜRKİYE,https://www.egm.gov.tr/disiliskiler/baskanimiz,https://x.com/paedutr/status/1872666281767510292,official_page,high,Resmi EGM sayfası
4,Cemil Cem AYDIN,EGM Fikri Mülkiyet Suçlarıyla Mücadele Türkiye Müdürü,TÜRKİYE,https://www.turkiyegazetesi.com.tr/gundem/dunyanin-yarisiyla-ortak-operasyon-yapildi-fikri-mulkiyet-burosu-sahte-urunu-affetmiy-1804373,https://www.haberhurriyeti.com/haber/28378150/turkiyeden-95-ulkeyle-dev-taklit-urun-operasyonu-milyonlarca-sahte-urun-yakalandi,news_article,low,Haberlerde net portre yok; EGM basın biriminden vesikalık istenmesi önerilir
5,Edward KWAKWA,WIPO Genel Müdür Yardımcısı,İSVİÇRE,https://www.flickr.com/photos/wipo/50777565773,https://www.flickriver.com/photos/wipo/50777565773/,official_photo,high,WIPO resmi Flickr portresi (Emmanuel Berrod); sayfadan en büyük boyutu indirin
6,Dr. Sevil HÜSEYİNOVA,WHO Türkiye Temsilcisi,TÜRKİYE,https://www.who.int/turkiye/about-us,https://turkicstates.org/en/news/ots-deputy-secretary-general-met-with-head-of-the-who-european-centre-for-preparedness-for-humanitarian-and-health-emergencies-phhe-,official_page,medium,WHO Avrupa PHHE Merkezi Başkanı / WHO Türkiye temsilci vekili (Sevil Huseynova yazımıyla arayın)
7,Etienne SANZ DE ACEDO,INTA CEO,ABD,https://www.inta.org/about/press-center/press-assets/,https://www.inta.org/about/leadership-governance/senior-management/,press_assets,high,Resmi basın fotoğrafları (INTA-CEO-Etienne-Sanz-de-Acedo-1.jpg / -3.jpg)
8,Janina SEILER,Merck Küresel Sağlık Sektörü Soruşturmaları Başkanı,ALMANYA,https://www.linkedin.com/in/janina-seiler-1ab1b5240/,,linkedin,medium,LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin
9,Gert-Jan VAN DIEST,AbbVie EMEA Tedarik Zinciri Güvenliği,HOLLANDA,https://logipharmaeu.wbresearch.com/speakers/gert-jan-van-diest,,conference_page,high,LogiPharma konuşmacı sayfasında kurumsal vesikalık
10,Lucy HAMBLOCH,Novartis Anti-Falsified Medicines Avrupa,İNGİLTERE,https://www.linkedin.com/in/352295209/,,linkedin,medium,LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin
11,Mohamed TAHA,Kenvue Küresel Marka Koruma Müdürü,BAE,https://www.linkedin.com/in/mohamed-taha-434b1086/,,linkedin,medium,LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin
12,Ali Kemal AL,Mali Suçlarla Mücadele Türkiye Müdürü,TÜRKİYE,,,not_found,none,Kamuya açık fotoğraf bulunamadı (tekrar arandı); EGM basın biriminden istenmesi önerilir
13,Çağdaş AKSOY,EGM Kriminal Türkiye Laboratuvarları Müdürü,TÜRKİYE,https://www.linkedin.com/in/%C3%A7a%C4%9Fda%C5%9F-aksoy-164235135/,,linkedin,medium,Ankara Bölge Kriminal Polis Lab. Müdürü; LinkedIn fotoğrafı
14,Prof. Dr. M. Zeki DURAK,Türk Patent ve Marka Kurumu Başkanı,TÜRKİYE,https://www.turkpatent.gov.tr/baskan,https://www.giv.org.tr/haber/gi-v-girisimci-bulusmalari-konugumuz-turk-patent-ve-marka-kurumu-baskani-prof-dr-muhammed-zeki-durak,official_page,high,TÜRKPATENT resmi başkan sayfası portresi
15,Özgür ATIŞ,Şanlı İlaç Genel Müdürü,TÜRKİYE,https://www.sanliilac.com.tr,,company_site,low,Tekrar arandı; kamuya açık portre yok - şirketten istenmesi önerilir
16,Doç. Dr. Zeliha ÖZDEMİR KÖKEN,TÜSEB TTO Genel Müdürü,TÜRKİYE,https://www.tuseb.gov.tr/tuseb-tto/tuseb-teknoloji-transfer-ofisi,https://www.tuseb.gov.tr/haberler/izmir-sehir-hastanesi-teknoloji-transfer-ofisi-faaliyete-gecti-20250206,official_page,medium,TÜSEB TTO/haber sayfalarındaki etkinlik fotoğrafları
17,Umut Çağdaş TAHİROĞULLARI,Avukat (Kenaroğlu),TÜRKİYE,https://kenaroglu.av.tr/umut-cagdas-tahirogullari,https://www.legal500.com/firms/18441-kenaroglu-avukatlik-burosu/c-turkey/lawyers/2073134-umut-cagdas-tahirogullar,firm_profile,high,Büro profil sayfasında profesyonel portre
18,Evrim KAYATAŞ SENCER,Sanipak Türkiye Direktörü,TÜRKİYE,https://www.linkedin.com/search/results/people/?keywords=Evrim%20Kayata%C5%9F%20Sencer,,linkedin_search,low,Tekrar arandı; LinkedIn'de manuel arama gerekli (eski Eczacıbaşı pazarlama müdürü)
19,Doç. Dr. Erdoğan ÖZ,Halk Sağlığı Genel Müdürü,TÜRKİYE,https://hsgm.saglik.gov.tr/tr/genel-mudur-yardimcilarimiz/uzm-dr-erdogan-oz.html,https://tibbiyebulteni.com/saglik-bilimleri-universitesi-ogretim-uyesi-doc-dr-erdogan-oz-halk-sagligi-genel-muduru-olarak-atandi,official_page,high,HSGM resmi sayfa portresi
20,Doç. Dr. Yunus BAYRAM,Gıda Kontrol Genel Müdürü,TÜRKİYE,https://vskn.tarimorman.gov.tr/zonguldak/Menu/24/Doc-Dr-Yunus-Bayram-Genel-Mudur-Yardimcisi,https://arastirma.tarimorman.gov.tr/dzmai/Haber/68/Gida-Ve-Kontrol-Genel-Mudurlugu-Genel-Mudur-Yardimcisi-Dr-Yunus-Bayram-Enstitumuzu-Ziyaret-Etti,official_page,medium,Bakanlık sayfaları + kurum ziyaret haberleri
21,Dr. Ömer BİRCAN,Çevre Sağlığı Dairesi Başkanı,TÜRKİYE,https://hsgm.saglik.gov.tr/tr/baskanligimiz-cevresagligi/daire-baskani.html,,official_page,high,HSGM resmi daire başkanı sayfası portresi
22,Yıldıray GENÇER,TSÜAB Başkanı,TÜRKİYE,https://www.tsuab.org.tr/Page/1021/1,https://x.com/Ahmet_Guldal/status/1968327866367549741,official_page,high,TSÜAB kurumsal sayfası (No 46 ile aynı kişi)
23,Aslı TİRELİ,NIKE Türkiye Marka Koruma,TÜRKİYE,https://www.linkedin.com/in/asli-tireli-ll-m-1b69314/,,linkedin,medium,LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin
24,Emmanuel AUBRIOT,Louis Vuitton,FRANSA,https://www.linkedin.com/search/results/people/?keywords=Emmanuel%20Aubriot%20Louis%20Vuitton,,linkedin_search,none,Tekrar arandı; LV bağlantılı kamuya açık profil bulunamadı - organizatörden/kendisinden istenmesi önerilir
25,Prof. Dr. Arzu OĞUZ,Ankara Üniv. Hukuk Fak. FM Hukuku ABD Başkanı,TÜRKİYE,https://avesis.ankara.edu.tr/aoguz,https://hukukbook.com/prof-dr-arzu-oguz/,university_profile,high,AVESİS akademik profil fotoğrafı
26,Dr. Tayyip EROĞLU,Adalet Bakanlığı DİABGM Genel Müdür Yrd.,TÜRKİYE,https://diabgm.adalet.gov.tr/Home/PersonelListe/Genel%20M%C3%BCd%C3%BCr%20Yard%C4%B1mc%C4%B1s%C4%B1,,official_page,medium,DİABGM personel sayfası
27,Mehmet TAŞTAN,Ankara Fikri Mülkiyet Savcısı,TÜRKİYE,https://www.mehmettastan.com,https://www.antoloji.com/mehmet-tastan/,personal_site,medium,"Hakim/şair Mehmet Taştan'ın kişisel sitesi ve antoloji profili (aynı kişi olduğu teyit edilmeli); 2006'dan beri Ankara'da savcı"
28,Münir OĞUZ,Ticaret Bakanlığı Gümrükler Gen. Müd. Yrd.,TÜRKİYE,https://ggm.ticaret.gov.tr/kurumsal/genel-mudur-yardimcilari,https://trakya.ticaret.gov.tr/haberler/gumrukler-genel-mudur-yardimcimiz-sayin-munir-oguz-bolgemize-calisma-ziyareti-gerceklestirdi,official_page,high,GGM resmi genel müdür yardımcıları sayfası
29,Hasibe IŞIKLI,Cumhurbaşkanlığı SBB Bütçe Uzmanı,TÜRKİYE,,,not_found,none,"Tekrar arandı; DPT/SBB yayınlarının yazarı, kamuya açık fotoğrafı yok - SBB'den istenmesi önerilir"
30,Bahar DAĞHAN,Puma Junior Counsel Brand Protection,TÜRKİYE,https://de.linkedin.com/in/bahardaghan,,linkedin,medium,LinkedIn fotoğrafını oturum açık tarayıcıdan kaydedin
